model:	cph
data:	colon
seed:	7

Quantile:	0.25
C-Index (0.25):	0.6889437093518727
Brier Score (0.25):	0.11300838411732196
ROC AUC (0.25):	0.7019835510401549

Quantile:	0.5
C-Index (0.5):	0.6477154724818276
Brier Score (0.5):	0.1843674438449659
ROC AUC (0.5):	0.6554136253041363

Quantile:	0.75
C-Index (0.75):	0.6585268214571657
Brier Score (0.75):	0.21869131870577535
ROC AUC (0.75):	0.6962481962481961

