model:	dcm
data:	linear
seed:	5

Quantile:	0.25
C-Index (0.25):	0.8093459938120132
Brier Score (0.25):	0.11785297157479363
ROC AUC (0.25):	0.8330148112756808

Quantile:	0.5
C-Index (0.5):	0.7845517241379311
Brier Score (0.5):	0.15388433183872186
ROC AUC (0.5):	0.8462262231716002

Quantile:	0.75
C-Index (0.75):	0.7690572560924193
Brier Score (0.75):	0.14493750123423765
ROC AUC (0.75):	0.8571347806422432

