model:	rsf
data:	rdata
seed:	1

Quantile:	0.25
C-Index (0.25):	0.6239289975202489
Brier Score (0.25):	0.10447790330023699
ROC AUC (0.25):	0.6291949477595833

Quantile:	0.5
C-Index (0.5):	0.6694108645266873
Brier Score (0.5):	0.1666717340678248
ROC AUC (0.5):	0.6916625264793053

Quantile:	0.75
C-Index (0.75):	0.6650093271425613
Brier Score (0.75):	0.2036131789023602
ROC AUC (0.75):	0.7112261281059338

