model:	coxkan
data:	TRACE
seed:	5

Quantile:	0.25
C-Index (0.25):	0.8028062685491453
Brier Score (0.25):	0.0831422953133299
ROC AUC (0.25):	0.8160947351083243

Quantile:	0.5
C-Index (0.5):	0.7680882413381783
Brier Score (0.5):	0.1418684644959128
ROC AUC (0.5):	0.788331062867083

Quantile:	0.75
C-Index (0.75):	0.7357944173346341
Brier Score (0.75):	0.18381733498168146
ROC AUC (0.75):	0.7633779359680688

