model:	dsm
data:	TRACE
seed:	6

Quantile:	0.25
C-Index (0.25):	0.737444135122132
Brier Score (0.25):	0.11173605129011654
ROC AUC (0.25):	0.7481643361041066

Quantile:	0.5
C-Index (0.5):	0.7417562949504624
Brier Score (0.5):	0.15533543080512513
ROC AUC (0.5):	0.7684210623057512

Quantile:	0.75
C-Index (0.75):	0.7198378026420944
Brier Score (0.75):	0.1926561997340096
ROC AUC (0.75):	0.7587310502837885

