model:	dsm
data:	non-linear
seed:	0

Quantile:	0.25
C-Index (0.25):	0.591238038277512
Brier Score (0.25):	0.18082761017927404
ROC AUC (0.25):	0.5958239861949957

Quantile:	0.5
C-Index (0.5):	0.5866441404617871
Brier Score (0.5):	0.24334771134706454
ROC AUC (0.5):	0.6096121202908464

Quantile:	0.75
C-Index (0.75):	0.5834657510924465
Brier Score (0.75):	0.2212738830347292
ROC AUC (0.75):	0.6284865809996947

