model:	dsm
data:	rdata
seed:	3

Quantile:	0.25
C-Index (0.25):	0.6305393725925706
Brier Score (0.25):	0.11153756692648661
ROC AUC (0.25):	0.6461664400323531

Quantile:	0.5
C-Index (0.5):	0.6779834870756626
Brier Score (0.5):	0.18805066633480488
ROC AUC (0.5):	0.7141175201455876

Quantile:	0.75
C-Index (0.75):	0.6969695434307475
Brier Score (0.75):	0.1935201757342601
ROC AUC (0.75):	0.7818582903168749

