model:	cph
data:	colon
seed:	1

Quantile:	0.25
C-Index (0.25):	0.6940697113355379
Brier Score (0.25):	0.11134295489803353
ROC AUC (0.25):	0.7007557529458157

Quantile:	0.5
C-Index (0.5):	0.6995292650008018
Brier Score (0.5):	0.16015335521973847
ROC AUC (0.5):	0.7180717542676697

Quantile:	0.75
C-Index (0.75):	0.6732486021523987
Brier Score (0.75):	0.1955965822920927
ROC AUC (0.75):	0.6961179125146815

