model:	dcm
data:	colon
seed:	8

Quantile:	0.25
C-Index (0.25):	0.633695652173913
Brier Score (0.25):	0.11023018918376401
ROC AUC (0.25):	0.6388457556935818

Quantile:	0.5
C-Index (0.5):	0.6011506691294201
Brier Score (0.5):	0.17207943990642902
ROC AUC (0.5):	0.6106142804667851

Quantile:	0.75
C-Index (0.75):	0.5965268495981865
Brier Score (0.75):	0.2181031293867464
ROC AUC (0.75):	0.6099207498664829

