model:	coxkan
data:	colon
seed:	6

Quantile:	0.25
C-Index (0.25):	0.6991512771809094
Brier Score (0.25):	0.10663098247147959
ROC AUC (0.25):	0.7085631047757777

Quantile:	0.5
C-Index (0.5):	0.6963195446274244
Brier Score (0.5):	0.17707751134403313
ROC AUC (0.5):	0.7153021725700219

Quantile:	0.75
C-Index (0.75):	0.6704416400520278
Brier Score (0.75):	0.20517044992477013
ROC AUC (0.75):	0.6900516794716616

