model:	dcph
data:	linear
seed:	0

Quantile:	0.25
C-Index (0.25):	0.7885559647360786
Brier Score (0.25):	0.13758368584255606
ROC AUC (0.25):	0.8330881631852505

Quantile:	0.5
C-Index (0.5):	0.7887351018838908
Brier Score (0.5):	0.1386108558879587
ROC AUC (0.5):	0.8777334237151967

Quantile:	0.75
C-Index (0.75):	0.7770180397373015
Brier Score (0.75):	0.12497826813856915
ROC AUC (0.75):	0.8883239831697056

