model:	dcm
data:	TRACE
seed:	5

Quantile:	0.25
C-Index (0.25):	0.7950412629195097
Brier Score (0.25):	0.08382278060987719
ROC AUC (0.25):	0.808622453908151

Quantile:	0.5
C-Index (0.5):	0.7656949670242664
Brier Score (0.5):	0.14076965161313057
ROC AUC (0.5):	0.7869769053716713

Quantile:	0.75
C-Index (0.75):	0.7392860530767575
Brier Score (0.75):	0.18064890629348024
ROC AUC (0.75):	0.7691652635650328

